总类别,子类别,商标名,商标图片地址,txt地址
穿着-装扮,珠宝首饰,美琳,./穿着-装扮/珠宝首饰/美琳/10102710575_138x60.gif,./穿着-装扮/珠宝首饰/美琳/浙江美琳饰品有限公司.txt
穿着-装扮,珠宝首饰,清辉QINGHUI,./穿着-装扮/珠宝首饰/清辉QINGHUI/10112259290_138x60.gif,./穿着-装扮/珠宝首饰/清辉QINGHUI/湖南伊思丽珍珠有限公司.txt
穿着-装扮,美发-护发,舒蕾SLEK,./穿着-装扮/美发-护发/舒蕾SLEK/09504827829_207x90.gif,./穿着-装扮/美发-护发/舒蕾SLEK/拜尔斯道夫个人护理用品(中国)有限公司.txt
穿着-装扮,美发-护发,Rogaine落健,./穿着-装扮/美发-护发/Rogaine落健/03133239703_207x90.gif,./穿着-装扮/美发-护发/Rogaine落健/强生(中国)投资有限公司.txt
穿着-装扮,运动鞋服,标力BLP,./穿着-装扮/运动鞋服/标力BLP/17471876876_207x90.gif,./穿着-装扮/运动鞋服/标力BLP/台山标力台球运动器材有限公司.txt
穿着-装扮,面部护肤,温碧泉Wetherm,./穿着-装扮/面部护肤/温碧泉Wetherm/09021717256_207x90.gif,./穿着-装扮/面部护肤/温碧泉Wetherm/广州市巧美化妆品有限公司.txt
穿着-装扮,香水彩妆,Maybelline美宝莲,./穿着-装扮/香水彩妆/Maybelline美宝莲/18051523023_207x90.gif,./穿着-装扮/香水彩妆/Maybelline美宝莲/欧莱雅(中国)有限公司.txt
穿着-装扮,鞋袜-箱包,EASTPAK,./穿着-装扮/鞋袜-箱包/EASTPAK/18095424065_207x90.gif,./穿着-装扮/鞋袜-箱包/EASTPAK/上海允今品牌管理有限公司.txt
穿着-装扮,服装配饰,361°kids,./穿着-装扮/服装配饰/361°kids/17582976059_207x90.gif,./穿着-装扮/服装配饰/361°kids/三六一度(中国)有限公司.txt
穿着-装扮,运动鞋服,Speedo速比涛,./穿着-装扮/运动鞋服/Speedo速比涛/18124072101_207x90.gif,./穿着-装扮/运动鞋服/Speedo速比涛/攀岚贸易(上海)有限公司.txt
穿着-装扮,运动鞋服,洲克ZOKE,./穿着-装扮/运动鞋服/洲克ZOKE/18124325497_207x90.gif,./穿着-装扮/运动鞋服/洲克ZOKE/上海洲克服饰有限公司.txt
穿着-装扮,运动鞋服,三奇SANQI,./穿着-装扮/运动鞋服/三奇SANQI/09413196442_207x90.gif,./穿着-装扮/运动鞋服/三奇SANQI/兴城市三奇制衣有限公司.txt
穿着-装扮,面部护肤,海姿ESSE,./穿着-装扮/面部护肤/海姿ESSE/18050848992_138x60.gif,./穿着-装扮/面部护肤/海姿ESSE/北海市海真珠化妆品有限公司.txt
穿着-装扮,面部护肤,cloud9九朵云,./穿着-装扮/面部护肤/cloud9九朵云/17442663164_138x60.gif,./穿着-装扮/面部护肤/cloud9九朵云/韩国克莱尔斯(CLAIRESKOREA)株式会社.txt
穿着-装扮,珠宝首饰,蓝神珠宝,./穿着-装扮/珠宝首饰/蓝神珠宝/20371059415_207x90.gif,./穿着-装扮/珠宝首饰/蓝神珠宝/安徽省蓝神珠宝有限责任公司.txt
穿着-装扮,珠宝首饰,金六福KLF,./穿着-装扮/珠宝首饰/金六福KLF/09113617463_207x90.gif,./穿着-装扮/珠宝首饰/金六福KLF/深圳市时利和珠宝首饰有限公司.txt
穿着-装扮,服装配饰,绅士gentleman,./穿着-装扮/服装配饰/绅士gentleman/14113036524_207x90.gif,./穿着-装扮/服装配饰/绅士gentleman/北京绅士服装有限公司.txt
穿着-装扮,运动鞋服,XXIO,./穿着-装扮/运动鞋服/XXIO/08565338600_207x90.gif,./穿着-装扮/运动鞋服/XXIO/常熟史力胜体育用品贸易有限公司.txt
